05-Jul-2022 10:51:14 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 4.05 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.2547344e-04	-1.3129081e+00
3.0236934e+03	1.2992061e-04	-1.3045772e+00
3.7178480e+03	1.2992972e-04	-2.0911597e+00
4.5713609e+03	1.2420625e-04	-1.9170429e+00
5.6208162e+03	1.2801437e-04	-2.7834463e+00
6.9111968e+03	1.2639992e-04	-2.4029843e+00
8.4978124e+03	1.2341941e-04	-3.3175534e+00
1.0448670e+04	1.2518540e-04	-3.0940756e+00
1.2847390e+04	1.2363460e-04	-3.8842670e+00
1.5796787e+04	1.2186802e-04	-3.8838640e+00
1.9423284e+04	1.2150010e-04	-4.2525977e+00
2.3882321e+04	1.2110214e-04	-4.6597844e+00
2.9365027e+04	1.1901814e-04	-5.3370360e+00
3.6106408e+04	1.1876384e-04	-6.2464601e+00
4.4395419e+04	1.1549168e-04	-6.3376486e+00
5.4587353e+04	1.1412188e-04	-7.7272692e+00
6.7119068e+04	1.1316053e-04	-7.8834377e+00
8.2527710e+04	1.1091031e-04	-7.7670386e+00
1.0147374e+05	1.0838374e-04	-9.1270318e+00
1.2476925e+05	1.0628419e-04	-9.7420462e+00
1.5341274e+05	1.0372224e-04	-1.0185194e+01
1.8863197e+05	1.0288188e-04	-1.0447343e+01
2.3193654e+05	9.9987830e-05	-1.0720516e+01
2.8518262e+05	9.5833267e-05	-1.2322134e+01
3.5065250e+05	9.3868309e-05	-1.2490995e+01
4.3115241e+05	9.0869089e-05	-1.3041486e+01
5.3013282e+05	8.8790566e-05	-1.3765262e+01
6.5183634e+05	8.6020485e-05	-1.3645546e+01
8.0147956e+05	8.2646750e-05	-1.4555003e+01
9.8547663e+05	7.8804465e-05	-1.4687791e+01
1.2117142e+06	7.7373001e-05	-1.5487774e+01
1.4898896e+06	7.4636577e-05	-1.5362374e+01
1.8319261e+06	7.2875976e-05	-1.6091394e+01
2.2524846e+06	6.9475283e-05	-1.6904334e+01
2.7695915e+06	6.8631708e-05	-1.7397648e+01
3.4054115e+06	6.7096760e-05	-1.8813476e+01
4.1871977e+06	6.4906401e-05	-1.9404800e+01
5.1484601e+06	6.4094846e-05	-2.1633617e+01
6.3304011e+06	6.0028674e-05	-2.2341263e+01
7.7836824e+06	5.7975889e-05	-2.4155516e+01
9.5705960e+06	5.6220648e-05	-2.7146470e+01
1.1767734e+07	5.4078699e-05	-3.0953058e+01
1.4469274e+07	5.0475962e-05	-3.4709283e+01
1.7791010e+07	4.6451987e-05	-3.9569618e+01
2.1875324e+07	4.3763797e-05	-4.3733787e+01
2.6897280e+07	3.9201317e-05	-4.9188648e+01
3.3072136e+07	3.4554757e-05	-5.2341325e+01
4.0664565e+07	2.8574108e-05	-6.0864671e+01
5.0000000e+07	2.5034783e-05	-6.5911766e+01
