22-Nov-2022 11:17:3 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.89 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	4.8536873e-03	-1.1654689e+01
3.0236934e+03	4.7406467e-03	-1.2437184e+01
3.7178480e+03	4.5980016e-03	-1.3381638e+01
4.5713609e+03	4.4716636e-03	-1.4309489e+01
5.6208162e+03	4.3280553e-03	-1.5439585e+01
6.9111968e+03	4.1739123e-03	-1.6751766e+01
8.4978124e+03	4.0199008e-03	-1.7987289e+01
1.0448670e+04	3.8512657e-03	-1.8932359e+01
1.2847390e+04	3.6946611e-03	-2.0080538e+01
1.5796787e+04	3.5324279e-03	-2.1298162e+01
1.9423284e+04	3.3626147e-03	-2.2306473e+01
2.3882321e+04	3.1968310e-03	-2.3398686e+01
2.9365027e+04	3.0281513e-03	-2.4723696e+01
3.6106408e+04	2.8550570e-03	-2.5997929e+01
4.4395419e+04	2.6876680e-03	-2.7292372e+01
5.4587353e+04	2.5184572e-03	-2.8509901e+01
6.7119068e+04	2.3657593e-03	-2.9424665e+01
8.2527710e+04	2.2012960e-03	-3.0638262e+01
1.0147374e+05	2.0475368e-03	-3.1881102e+01
1.2476925e+05	1.8965726e-03	-3.3087708e+01
1.5341274e+05	1.7561371e-03	-3.4339536e+01
1.8863197e+05	1.6227697e-03	-3.5478499e+01
2.3193654e+05	1.4961855e-03	-3.6687966e+01
2.8518262e+05	1.3734522e-03	-3.7729827e+01
3.5065250e+05	1.2566458e-03	-3.9119639e+01
4.3115241e+05	1.1481116e-03	-4.0323493e+01
5.3013282e+05	1.0481484e-03	-4.1450817e+01
6.5183634e+05	9.5185227e-04	-4.2826790e+01
8.0147956e+05	8.6224141e-04	-4.4127382e+01
9.8547663e+05	7.7859693e-04	-4.5349360e+01
1.2117142e+06	7.0121836e-04	-4.6798681e+01
1.4898896e+06	6.2940879e-04	-4.8141821e+01
1.8319261e+06	5.6388014e-04	-4.9749116e+01
2.2524846e+06	5.0407092e-04	-5.1027886e+01
2.7695915e+06	4.4976676e-04	-5.2382946e+01
3.4054115e+06	3.9714279e-04	-5.3719006e+01
4.1871977e+06	3.5058970e-04	-5.5329627e+01
5.1484601e+06	3.0782977e-04	-5.6825160e+01
6.3304011e+06	2.7017233e-04	-5.8402362e+01
7.7836824e+06	2.3604401e-04	-5.9534919e+01
9.5705960e+06	2.0691872e-04	-6.1141936e+01
1.1767734e+07	1.7922234e-04	-6.2711044e+01
1.4469274e+07	1.5357090e-04	-6.4398203e+01
1.7791010e+07	1.3295568e-04	-6.6284599e+01
2.1875324e+07	1.1408594e-04	-6.7309584e+01
2.6897280e+07	9.9159454e-05	-6.8800827e+01
3.3072136e+07	8.4606993e-05	-7.1097352e+01
4.0664565e+07	7.3587439e-05	-7.2231992e+01
5.0000000e+07	5.9680679e-05	-7.4928964e+01
