24-Nov-2022 12:12:57 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.58 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.2959015e-03	-1.9172183e+01
3.0236934e+03	1.2415784e-03	-2.0100805e+01
3.7178480e+03	1.1870217e-03	-2.1241868e+01
4.5713609e+03	1.1328042e-03	-2.2257390e+01
5.6208162e+03	1.0761188e-03	-2.3334166e+01
6.9111968e+03	1.0196635e-03	-2.4531335e+01
8.4978124e+03	9.6476262e-04	-2.5639695e+01
1.0448670e+04	9.1135018e-04	-2.6929843e+01
1.2847390e+04	8.5612704e-04	-2.8108665e+01
1.5796787e+04	8.0227734e-04	-2.9385843e+01
1.9423284e+04	7.4957458e-04	-3.0682346e+01
2.3882321e+04	6.9814569e-04	-3.1977623e+01
2.9365027e+04	6.4706880e-04	-3.3298609e+01
3.6106408e+04	5.9758235e-04	-3.4623374e+01
4.4395419e+04	5.4995186e-04	-3.5935336e+01
5.4587353e+04	5.0513982e-04	-3.7184971e+01
6.7119068e+04	4.6155600e-04	-3.8397380e+01
8.2527710e+04	4.2096728e-04	-3.9611217e+01
1.0147374e+05	3.8284315e-04	-4.0586410e+01
1.2476925e+05	3.4718794e-04	-4.1658838e+01
1.5341274e+05	3.1413567e-04	-4.2739479e+01
1.8863197e+05	2.8383766e-04	-4.3690947e+01
2.3193654e+05	2.5540933e-04	-4.4549071e+01
2.8518262e+05	2.2990834e-04	-4.5303368e+01
3.5065250e+05	2.0630867e-04	-4.5821949e+01
4.3115241e+05	1.8452980e-04	-4.6511812e+01
5.3013282e+05	1.6603099e-04	-4.6989092e+01
6.5183634e+05	1.4838652e-04	-4.7557087e+01
8.0147956e+05	1.3284622e-04	-4.8070992e+01
9.8547663e+05	1.1940094e-04	-4.8605768e+01
1.2117142e+06	1.0643608e-04	-4.9195256e+01
1.4898896e+06	9.5473279e-05	-4.9697054e+01
1.8319261e+06	8.5182497e-05	-5.0227576e+01
2.2524846e+06	7.5767481e-05	-5.0846282e+01
2.7695915e+06	6.7406881e-05	-5.1019271e+01
3.4054115e+06	6.0512003e-05	-5.1655889e+01
4.1871977e+06	5.3720802e-05	-5.2290121e+01
5.1484601e+06	4.7785975e-05	-5.3360571e+01
6.3304011e+06	4.2569415e-05	-5.4202582e+01
7.7836824e+06	3.6680098e-05	-5.3343724e+01
9.5705960e+06	3.3514432e-05	-5.5233982e+01
1.1767734e+07	2.9062782e-05	-5.6220660e+01
1.4469274e+07	2.5485612e-05	-5.6778758e+01
1.7791010e+07	2.2236128e-05	-5.7964382e+01
2.1875324e+07	1.9760206e-05	-5.9509956e+01
2.6897280e+07	1.7239841e-05	-6.1704077e+01
3.3072136e+07	1.5237755e-05	-6.4307119e+01
4.0664565e+07	1.4475867e-05	-6.1134420e+01
5.0000000e+07	9.7271056e-06	-6.3702243e+01
