18-Jul-2025 16:33:5 PM  Sample temp: 25.01 C  Probe rad: 5 um  Pump rad: 10.45 um
Frequency (Hz)	R (volts rms)	Theta (degree)
1.2470887e+03	1.0687794e-02	-9.0013366e+00
1.5552302e+03	1.0467370e-02	-1.0073302e+01
1.9395101e+03	1.0216254e-02	-1.1213320e+01
2.4187411e+03	9.9666314e-03	-1.2447624e+01
3.0163847e+03	9.7098421e-03	-1.3755461e+01
3.7616994e+03	9.4235217e-03	-1.5159355e+01
4.6911728e+03	9.0992212e-03	-1.6606792e+01
5.8503086e+03	8.7741944e-03	-1.8197022e+01
7.2958538e+03	8.4394985e-03	-1.9916290e+01
9.0985769e+03	8.0603436e-03	-2.1680809e+01
1.1346733e+04	7.6559718e-03	-2.3518877e+01
1.4150382e+04	7.2621453e-03	-2.5467155e+01
1.7646782e+04	6.8234167e-03	-2.7402807e+01
2.2007102e+04	6.3635920e-03	-2.9303699e+01
2.7444809e+04	5.9115824e-03	-3.1245177e+01
3.4226111e+04	5.4425045e-03	-3.3159679e+01
4.2682996e+04	4.9779842e-03	-3.4924536e+01
5.3229483e+04	4.5379110e-03	-3.6622103e+01
6.6381887e+04	4.1193160e-03	-3.8151869e+01
8.2784102e+04	3.7172728e-03	-3.9568499e+01
1.0323912e+05	3.3469738e-03	-4.0738681e+01
1.2874834e+05	2.9898461e-03	-4.1626325e+01
1.6056060e+05	2.6787670e-03	-4.2446270e+01
2.0023331e+05	2.3913163e-03	-4.2990264e+01
2.4970870e+05	2.1349111e-03	-4.3263674e+01
3.1140890e+05	1.9065109e-03	-4.3453470e+01
3.8835452e+05	1.7031804e-03	-4.3481260e+01
4.8431254e+05	1.5248296e-03	-4.3374491e+01
6.0398070e+05	1.3638594e-03	-4.3101602e+01
7.5321752e+05	1.2233697e-03	-4.2766917e+01
9.3932906e+05	1.1010324e-03	-4.2546563e+01
1.1714267e+06	9.9337854e-04	-4.2195159e+01
1.4608730e+06	8.9512537e-04	-4.1798958e+01
1.8218382e+06	8.0982352e-04	-4.1329850e+01
2.2719938e+06	7.3418600e-04	-4.1026147e+01
2.8333778e+06	6.6529923e-04	-4.0773623e+01
3.5334735e+06	6.0474303e-04	-4.0585022e+01
4.4065549e+06	5.5009230e-04	-4.0526284e+01
5.4953649e+06	5.0171470e-04	-4.0592914e+01
6.8532075e+06	4.5682229e-04	-4.0821791e+01
8.5465577e+06	4.1836948e-04	-4.1172816e+01
1.0658316e+07	3.8042022e-04	-4.2057188e+01
1.3291865e+07	3.4769761e-04	-4.3050987e+01
1.6576135e+07	3.1624672e-04	-4.4427850e+01
2.0671911e+07	2.8781920e-04	-4.6212214e+01
2.5779706e+07	2.6035900e-04	-4.8341214e+01
3.2149580e+07	2.3293159e-04	-5.1166297e+01
4.0093379e+07	2.0819949e-04	-5.3901882e+01
5.0000000e+07	1.8308257e-04	-5.7533663e+01
