18-Jul-2025 16:44:42 PM  Sample temp: 25 C  Probe rad: 5 um  Pump rad: 10.39 um
Frequency (Hz)	R (volts rms)	Theta (degree)
1.2470887e+03	1.1326192e-02	-9.6024995e+00
1.5552302e+03	1.1144876e-02	-1.0773734e+01
1.9395101e+03	1.0849497e-02	-1.1838661e+01
2.4187411e+03	1.0542343e-02	-1.2974234e+01
3.0163847e+03	1.0264374e-02	-1.4243306e+01
3.7616994e+03	9.9367260e-03	-1.5564504e+01
4.6911728e+03	9.5916422e-03	-1.6953756e+01
5.8503086e+03	9.2123781e-03	-1.8439676e+01
7.2958538e+03	8.8145498e-03	-2.0004901e+01
9.0985769e+03	8.3657577e-03	-2.1593064e+01
1.1346733e+04	7.9413003e-03	-2.3311800e+01
1.4150382e+04	7.4917052e-03	-2.5064752e+01
1.7646782e+04	7.0124933e-03	-2.6813139e+01
2.2007102e+04	6.5365064e-03	-2.8616471e+01
2.7444809e+04	6.0617215e-03	-3.0407737e+01
3.4226111e+04	5.5977848e-03	-3.2201076e+01
4.2682996e+04	5.1524670e-03	-3.3962505e+01
5.3229483e+04	4.7144102e-03	-3.5648375e+01
6.6381887e+04	4.2935273e-03	-3.7187934e+01
8.2784102e+04	3.8824339e-03	-3.8511609e+01
1.0323912e+05	3.5019014e-03	-3.9683738e+01
1.2874834e+05	3.1517833e-03	-4.0674795e+01
1.6056060e+05	2.8253590e-03	-4.1350962e+01
2.0023331e+05	2.5322031e-03	-4.2047103e+01
2.4970870e+05	2.2688351e-03	-4.2278598e+01
3.1140890e+05	2.0340574e-03	-4.2513792e+01
3.8835452e+05	1.8204439e-03	-4.2590892e+01
4.8431254e+05	1.6319743e-03	-4.2445024e+01
6.0398070e+05	1.4651774e-03	-4.2276893e+01
7.5321752e+05	1.3177048e-03	-4.2112442e+01
9.3932906e+05	1.1890734e-03	-4.1867131e+01
1.1714267e+06	1.0720478e-03	-4.1561591e+01
1.4608730e+06	9.7046592e-04	-4.1297830e+01
1.8218382e+06	8.7885611e-04	-4.1017551e+01
2.2719938e+06	7.9676919e-04	-4.0719856e+01
2.8333778e+06	7.2399547e-04	-4.0679792e+01
3.5334735e+06	6.5858205e-04	-4.0590436e+01
4.4065549e+06	5.9827013e-04	-4.0641210e+01
5.4953649e+06	5.4487890e-04	-4.0924846e+01
6.8532075e+06	4.9669109e-04	-4.1215927e+01
8.5465577e+06	4.5423521e-04	-4.1745780e+01
1.0658316e+07	4.1338068e-04	-4.2751601e+01
1.3291865e+07	3.7626465e-04	-4.4053941e+01
1.6576135e+07	3.4129914e-04	-4.5421164e+01
2.0671911e+07	3.0901707e-04	-4.7287831e+01
2.5779706e+07	2.7897298e-04	-4.9525886e+01
3.2149580e+07	2.4941239e-04	-5.2221698e+01
4.0093379e+07	2.2096739e-04	-5.5360385e+01
5.0000000e+07	1.9300030e-04	-5.9057499e+01
