22-Nov-2022 11:54:10 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.89 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	4.7322684e-03	-8.3553511e+00
3.0236934e+03	4.6322495e-03	-9.7391575e+00
3.7178480e+03	4.5218057e-03	-1.0839894e+01
4.5713609e+03	4.4095616e-03	-1.2288346e+01
5.6208162e+03	4.2852966e-03	-1.3534635e+01
6.9111968e+03	4.1666067e-03	-1.4782936e+01
8.4978124e+03	4.0190796e-03	-1.5961034e+01
1.0448670e+04	3.8719300e-03	-1.7427020e+01
1.2847390e+04	3.7163076e-03	-1.8519705e+01
1.5796787e+04	3.5637673e-03	-1.9837549e+01
1.9423284e+04	3.4082444e-03	-2.1441911e+01
2.3882321e+04	3.2438589e-03	-2.2693629e+01
2.9365027e+04	3.0657262e-03	-2.4150928e+01
3.6106408e+04	2.8972424e-03	-2.5465755e+01
4.4395419e+04	2.7301746e-03	-2.7006758e+01
5.4587353e+04	2.5535708e-03	-2.8174957e+01
6.7119068e+04	2.3888161e-03	-2.9658277e+01
8.2527710e+04	2.2285502e-03	-3.0956821e+01
1.0147374e+05	2.0742085e-03	-3.2298559e+01
1.2476925e+05	1.9183969e-03	-3.3628625e+01
1.5341274e+05	1.7777977e-03	-3.4844826e+01
1.8863197e+05	1.6387842e-03	-3.6233100e+01
2.3193654e+05	1.5048233e-03	-3.7528642e+01
2.8518262e+05	1.3784058e-03	-3.8815238e+01
3.5065250e+05	1.2613956e-03	-4.0061098e+01
4.3115241e+05	1.1461692e-03	-4.1402268e+01
5.3013282e+05	1.0421518e-03	-4.2480441e+01
6.5183634e+05	9.4588458e-04	-4.3913828e+01
8.0147956e+05	8.5359653e-04	-4.5052129e+01
9.8547663e+05	7.6772369e-04	-4.6396295e+01
1.2117142e+06	6.9175781e-04	-4.7788081e+01
1.4898896e+06	6.1975973e-04	-4.9104584e+01
1.8319261e+06	5.5245398e-04	-5.0383087e+01
2.2524846e+06	4.9253354e-04	-5.2075620e+01
2.7695915e+06	4.3724568e-04	-5.3440134e+01
3.4054115e+06	3.8561395e-04	-5.4907198e+01
4.1871977e+06	3.4018490e-04	-5.6189476e+01
5.1484601e+06	2.9834168e-04	-5.7951995e+01
6.3304011e+06	2.6210226e-04	-5.9261984e+01
7.7836824e+06	2.2689146e-04	-6.0209770e+01
9.5705960e+06	1.9776182e-04	-6.1795985e+01
1.1767734e+07	1.7204670e-04	-6.3327869e+01
1.4469274e+07	1.4847060e-04	-6.4288628e+01
1.7791010e+07	1.2748625e-04	-6.6207783e+01
2.1875324e+07	1.1029232e-04	-6.7070272e+01
2.6897280e+07	9.4629245e-05	-6.8420778e+01
3.3072136e+07	7.9700552e-05	-7.0415251e+01
4.0664565e+07	6.9598570e-05	-7.1300316e+01
5.0000000e+07	5.7453634e-05	-7.1518471e+01
