24-Nov-2022 12:6:60 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.58 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.7186405e-03	-1.3481017e+01
3.0236934e+03	1.6690157e-03	-1.4355398e+01
3.7178480e+03	1.6129660e-03	-1.5243481e+01
4.5713609e+03	1.5580993e-03	-1.6148157e+01
5.6208162e+03	1.5054342e-03	-1.7126241e+01
6.9111968e+03	1.4493234e-03	-1.8158871e+01
8.4978124e+03	1.3909790e-03	-1.9104512e+01
1.0448670e+04	1.3303755e-03	-2.0169424e+01
1.2847390e+04	1.2707023e-03	-2.1244275e+01
1.5796787e+04	1.2098748e-03	-2.2287820e+01
1.9423284e+04	1.1489479e-03	-2.3320581e+01
2.3882321e+04	1.0876866e-03	-2.4348976e+01
2.9365027e+04	1.0297957e-03	-2.5447718e+01
3.6106408e+04	9.6601811e-04	-2.6583633e+01
4.4395419e+04	9.0625387e-04	-2.7622458e+01
5.4587353e+04	8.4888441e-04	-2.8749578e+01
6.7119068e+04	7.9263097e-04	-2.9851740e+01
8.2527710e+04	7.4006980e-04	-3.0913778e+01
1.0147374e+05	6.8733769e-04	-3.2033173e+01
1.2476925e+05	6.3813960e-04	-3.3189856e+01
1.5341274e+05	5.9058305e-04	-3.4443892e+01
1.8863197e+05	5.4509632e-04	-3.5517763e+01
2.3193654e+05	5.0288973e-04	-3.6639265e+01
2.8518262e+05	4.6243565e-04	-3.7909907e+01
3.5065250e+05	4.2462741e-04	-3.9172233e+01
4.3115241e+05	3.8776933e-04	-4.0410353e+01
5.3013282e+05	3.5351799e-04	-4.1582711e+01
6.5183634e+05	3.2068214e-04	-4.2861786e+01
8.0147956e+05	2.9125500e-04	-4.4158816e+01
9.8547663e+05	2.6326175e-04	-4.5425132e+01
1.2117142e+06	2.3728542e-04	-4.6795663e+01
1.4898896e+06	2.1306716e-04	-4.8255980e+01
1.8319261e+06	1.9055426e-04	-4.9587128e+01
2.2524846e+06	1.6962397e-04	-5.1001177e+01
2.7695915e+06	1.5083449e-04	-5.2362114e+01
3.4054115e+06	1.3381688e-04	-5.3543210e+01
4.1871977e+06	1.1856162e-04	-5.5202392e+01
5.1484601e+06	1.0436833e-04	-5.6357986e+01
6.3304011e+06	9.1407618e-05	-5.8027387e+01
7.7836824e+06	7.9074066e-05	-5.8927388e+01
9.5705960e+06	6.9996875e-05	-6.0806550e+01
1.1767734e+07	6.0584389e-05	-6.2106245e+01
1.4469274e+07	5.2055402e-05	-6.3662469e+01
1.7791010e+07	4.4942169e-05	-6.5414981e+01
2.1875324e+07	3.9056944e-05	-6.7424581e+01
2.6897280e+07	3.3359399e-05	-6.9443949e+01
3.3072136e+07	2.8766141e-05	-7.1039257e+01
4.0664565e+07	2.5167005e-05	-7.1035626e+01
5.0000000e+07	1.8969892e-05	-7.5094519e+01
