27-Jun-2022 17:46:9 PM  Sample temp: 19.95 C  Probe rad: 5 um  Pump rad: 4.05 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.2677586e-04	-6.4949087e+00
3.0236934e+03	1.3186941e-04	-3.0092263e+00
3.7178480e+03	1.3060959e-04	-4.0926164e+00
4.5713609e+03	1.3116889e-04	-4.8574489e+00
5.6208162e+03	1.3029665e-04	-5.3485888e+00
6.9111968e+03	1.2627884e-04	-5.7319515e+00
8.4978124e+03	1.2683660e-04	-5.6018387e+00
1.0448670e+04	1.2753971e-04	-6.8926902e+00
1.2847390e+04	1.2453976e-04	-6.5522570e+00
1.5796787e+04	1.2220112e-04	-7.0652343e+00
1.9423284e+04	1.1940762e-04	-8.4483007e+00
2.3882321e+04	1.1737523e-04	-9.0528511e+00
2.9365027e+04	1.1426712e-04	-1.0108978e+01
3.6106408e+04	1.1211659e-04	-1.0721547e+01
4.4395419e+04	1.0973401e-04	-1.2179201e+01
5.4587353e+04	1.0651094e-04	-1.2540457e+01
6.7119068e+04	1.0236387e-04	-1.3925555e+01
8.2527710e+04	1.0044945e-04	-1.4858066e+01
1.0147374e+05	9.7095048e-05	-1.6008102e+01
1.2476925e+05	9.4146089e-05	-1.6642186e+01
1.5341274e+05	9.0017367e-05	-1.7568381e+01
1.8863197e+05	8.6405103e-05	-1.8550175e+01
2.3193654e+05	8.1769003e-05	-1.9919430e+01
2.8518262e+05	7.7427959e-05	-2.0826742e+01
3.5065250e+05	7.2666302e-05	-2.1625777e+01
4.3115241e+05	6.9108375e-05	-2.2817295e+01
5.3013282e+05	6.5736034e-05	-2.3224815e+01
6.5183634e+05	6.1198339e-05	-2.3252443e+01
8.0147956e+05	5.9157230e-05	-2.3011266e+01
9.8547663e+05	5.4735189e-05	-2.4361462e+01
1.2117142e+06	5.2053007e-05	-2.4495778e+01
1.4898896e+06	4.9871494e-05	-2.5274206e+01
1.8319261e+06	4.6803438e-05	-2.5044656e+01
2.2524846e+06	4.3161623e-05	-2.5144127e+01
2.7695915e+06	4.0962037e-05	-2.5393726e+01
3.4054115e+06	3.9436039e-05	-2.7110162e+01
4.1871977e+06	3.7439202e-05	-2.6133279e+01
5.1484601e+06	3.5864961e-05	-2.7151637e+01
6.3304011e+06	3.3405035e-05	-2.7032530e+01
7.7836824e+06	3.1163707e-05	-2.7494375e+01
9.5705960e+06	2.9115607e-05	-3.0648752e+01
1.1767734e+07	2.8091618e-05	-3.2341124e+01
1.4469274e+07	2.7260500e-05	-3.4518607e+01
1.7791010e+07	2.4856206e-05	-3.5129878e+01
2.1875324e+07	2.3036734e-05	-4.1679999e+01
2.6897280e+07	2.2148518e-05	-4.3193558e+01
3.3072136e+07	1.8954022e-05	-5.2518157e+01
4.0664565e+07	1.6547067e-05	-4.9069667e+01
5.0000000e+07	1.5703829e-05	-5.2812120e+01
