27-Jun-2022 13:3:59 PM  Sample temp: -179.64 C  Probe rad: 5 um  Pump rad: 4.05 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	7.2267532e-05	-2.1249437e-01
3.0236934e+03	7.4361759e-05	4.0805088e-01
3.7178480e+03	7.0676851e-05	-1.1804139e+00
4.5713609e+03	7.2594237e-05	-6.6799674e-01
5.6208162e+03	7.2731774e-05	-9.2395388e-01
6.9111968e+03	7.2505332e-05	-2.9915238e-01
8.4978124e+03	7.3076963e-05	5.4343037e-01
1.0448670e+04	7.2039664e-05	-1.5851039e-02
1.2847390e+04	7.2746845e-05	1.0843160e-01
1.5796787e+04	7.0462868e-05	2.1096750e-01
1.9423284e+04	7.1776834e-05	-4.2092405e-01
2.3882321e+04	7.2079901e-05	-3.1433949e-01
2.9365027e+04	7.0881074e-05	-5.9092654e-01
3.6106408e+04	7.2476800e-05	-9.8497197e-01
4.4395419e+04	7.0885682e-05	-1.7775880e+00
5.4587353e+04	7.2097731e-05	-7.6658004e-01
6.7119068e+04	7.0768751e-05	-1.1822531e+00
8.2527710e+04	7.0624734e-05	-2.1105903e-01
1.0147374e+05	7.0066394e-05	-9.3391244e-01
1.2476925e+05	7.2146093e-05	-1.5600489e+00
1.5341274e+05	7.1723952e-05	-4.3819319e-01
1.8863197e+05	7.1853315e-05	-7.0555223e-01
2.3193654e+05	7.1778254e-05	-9.4581193e-01
2.8518262e+05	7.0235083e-05	-1.9160682e+00
3.5065250e+05	7.0549618e-05	-1.3869305e+00
4.3115241e+05	7.0616198e-05	-2.1973529e+00
5.3013282e+05	7.0019871e-05	-1.7500538e+00
6.5183634e+05	7.0171254e-05	-3.2724909e+00
8.0147956e+05	6.9307656e-05	-3.4153910e+00
9.8547663e+05	7.0392111e-05	-3.6201331e+00
1.2117142e+06	6.9386253e-05	-4.5786253e+00
1.4898896e+06	6.8649953e-05	-6.0435897e+00
1.8319261e+06	7.0155730e-05	-7.0087785e+00
2.2524846e+06	6.8532915e-05	-8.7854555e+00
2.7695915e+06	6.8326988e-05	-9.3657263e+00
3.4054115e+06	6.6854476e-05	-1.1482621e+01
4.1871977e+06	6.5950533e-05	-1.4127535e+01
5.1484601e+06	6.5156847e-05	-1.6786404e+01
6.3304011e+06	6.4192162e-05	-1.8099223e+01
7.7836824e+06	6.0987832e-05	-2.1744657e+01
9.5705960e+06	5.8636545e-05	-2.5659800e+01
1.1767734e+07	5.7007339e-05	-2.9537961e+01
1.4469274e+07	5.3119582e-05	-3.4154466e+01
1.7791010e+07	4.8850757e-05	-3.9402206e+01
2.1875324e+07	4.4539823e-05	-4.4260374e+01
2.6897280e+07	3.9845974e-05	-4.9171548e+01
3.3072136e+07	3.5682838e-05	-5.2047932e+01
4.0664565e+07	3.2493039e-05	-5.9075523e+01
5.0000000e+07	2.6671267e-05	-5.7380575e+01
