21-Jul-2022 16:49:27 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.49 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.7110883e-04	-1.7232703e+00
3.0236934e+03	1.6834140e-04	-2.3794463e+00
3.7178480e+03	1.6582175e-04	-2.9122518e+00
4.5713609e+03	1.6598117e-04	-3.4058435e+00
5.6208162e+03	1.6591582e-04	-3.6481585e+00
6.9111968e+03	1.6278880e-04	-4.1422423e+00
8.4978124e+03	1.6240542e-04	-4.8827981e+00
1.0448670e+04	1.6102678e-04	-5.1602967e+00
1.2847390e+04	1.5914066e-04	-5.6758798e+00
1.5796787e+04	1.5736747e-04	-6.1455708e+00
1.9423284e+04	1.5538478e-04	-6.7114325e+00
2.3882321e+04	1.5277271e-04	-8.0014328e+00
2.9365027e+04	1.5163323e-04	-8.0331659e+00
3.6106408e+04	1.4831903e-04	-9.4247371e+00
4.4395419e+04	1.4629444e-04	-1.0240615e+01
5.4587353e+04	1.4247741e-04	-1.0963271e+01
6.7119068e+04	1.3902762e-04	-1.1785109e+01
8.2527710e+04	1.3534255e-04	-1.3343861e+01
1.0147374e+05	1.3156223e-04	-1.4090406e+01
1.2476925e+05	1.2701500e-04	-1.5573404e+01
1.5341274e+05	1.2204214e-04	-1.6848780e+01
1.8863197e+05	1.1848456e-04	-1.7581750e+01
2.3193654e+05	1.1324729e-04	-2.0025753e+01
2.8518262e+05	1.0769762e-04	-2.1098590e+01
3.5065250e+05	1.0182763e-04	-2.1511823e+01
4.3115241e+05	9.7314006e-05	-2.3329738e+01
5.3013282e+05	9.3221876e-05	-2.4451914e+01
6.5183634e+05	8.6282786e-05	-2.5196508e+01
8.0147956e+05	8.2087736e-05	-2.6373461e+01
9.8547663e+05	7.6806694e-05	-2.7012925e+01
1.2117142e+06	7.0267404e-05	-2.7577264e+01
1.4898896e+06	6.6371283e-05	-2.8586065e+01
1.8319261e+06	6.1771973e-05	-2.9367240e+01
2.2524846e+06	5.7677204e-05	-2.9897402e+01
2.7695915e+06	5.4296466e-05	-2.8985878e+01
3.4054115e+06	5.0673272e-05	-3.0191394e+01
4.1871977e+06	4.7900926e-05	-2.9355551e+01
5.1484601e+06	4.3866632e-05	-3.0883775e+01
6.3304011e+06	4.1399187e-05	-3.0269228e+01
7.7836824e+06	3.9646548e-05	-3.3561996e+01
9.5705960e+06	3.6739516e-05	-3.2820379e+01
1.1767734e+07	3.4634040e-05	-3.4021148e+01
1.4469274e+07	3.2185289e-05	-3.7507889e+01
1.7791010e+07	3.0325549e-05	-3.9706470e+01
2.1875324e+07	2.9322242e-05	-4.2393953e+01
2.6897280e+07	2.4831538e-05	-4.6295665e+01
3.3072136e+07	2.3594829e-05	-4.7485033e+01
4.0664565e+07	2.0943535e-05	-5.0678810e+01
5.0000000e+07	1.7236136e-05	-5.3587822e+01
