21-Jul-2022 16:49:58 PM  Sample temp: 20 C  Probe rad: 5 um  Pump rad: 3.49 um
Frequency (Hz)	R (volts rms)	Theta (degree)
2.4591435e+03	1.4729302e-04	-2.4950941e+00
3.0236934e+03	1.4752039e-04	-3.4170747e+00
3.7178480e+03	1.4532021e-04	-3.8635165e+00
4.5713609e+03	1.4404741e-04	-4.3003432e+00
5.6208162e+03	1.4387101e-04	-4.5515050e+00
6.9111968e+03	1.4364461e-04	-5.0939857e+00
8.4978124e+03	1.4232754e-04	-6.1037890e+00
1.0448670e+04	1.4067297e-04	-6.7432839e+00
1.2847390e+04	1.3662879e-04	-7.5968929e+00
1.5796787e+04	1.3647895e-04	-8.0253595e+00
1.9423284e+04	1.3365260e-04	-8.6897883e+00
2.3882321e+04	1.3051618e-04	-9.3382909e+00
2.9365027e+04	1.2838032e-04	-1.0507789e+01
3.6106408e+04	1.2595883e-04	-1.1949311e+01
4.4395419e+04	1.2296583e-04	-1.3200703e+01
5.4587353e+04	1.1946715e-04	-1.4196337e+01
6.7119068e+04	1.1553352e-04	-1.5655595e+01
8.2527710e+04	1.1201352e-04	-1.7073846e+01
1.0147374e+05	1.0821478e-04	-1.9710479e+01
1.2476925e+05	1.0338791e-04	-2.0265208e+01
1.5341274e+05	9.8941745e-05	-2.1901299e+01
1.8863197e+05	9.2577037e-05	-2.3276811e+01
2.3193654e+05	8.9112095e-05	-2.5586696e+01
2.8518262e+05	8.3675121e-05	-2.6761824e+01
3.5065250e+05	7.7314013e-05	-2.9168254e+01
4.3115241e+05	7.1348971e-05	-3.0600922e+01
5.3013282e+05	6.6121351e-05	-3.0500109e+01
6.5183634e+05	6.1132303e-05	-3.2645801e+01
8.0147956e+05	5.6456486e-05	-3.3568784e+01
9.8547663e+05	5.1631031e-05	-3.4641239e+01
1.2117142e+06	4.6036562e-05	-3.6235192e+01
1.4898896e+06	4.3393463e-05	-3.6245052e+01
1.8319261e+06	3.9307295e-05	-3.5694790e+01
2.2524846e+06	3.6046553e-05	-3.7312097e+01
2.7695915e+06	3.2794324e-05	-3.3319806e+01
3.4054115e+06	3.0630283e-05	-3.5145405e+01
4.1871977e+06	2.9082055e-05	-3.5519717e+01
5.1484601e+06	2.5962766e-05	-3.4645002e+01
6.3304011e+06	2.4741599e-05	-3.4122346e+01
7.7836824e+06	2.2198834e-05	-3.6026710e+01
9.5705960e+06	2.1439452e-05	-3.8000544e+01
1.1767734e+07	1.9399535e-05	-3.4035500e+01
1.4469274e+07	1.9698724e-05	-3.9686910e+01
1.7791010e+07	1.7835353e-05	-4.2923690e+01
2.1875324e+07	1.6447290e-05	-4.2894123e+01
2.6897280e+07	1.3591740e-05	-4.7959627e+01
3.3072136e+07	1.2394125e-05	-5.3825535e+01
4.0664565e+07	1.2506573e-05	-5.4816999e+01
5.0000000e+07	8.6383990e-06	-4.4289595e+01
